model,feature,feature_label,beta,se,t_cl,p,n_obs,n_countries,r2
cross_section_controls,total_energy_100kcal,Total energy supply (+100 kcal/cap/day),-0.14289762376693269,0.524034354307189,-0.2726875110236877,0.7850934357682056,37,37,0.5325761546353889
cross_section_controls,total_fat_10g,Total fat supply (+10 g/cap/day),0.7925380701249619,0.9287088369670338,0.853376255913773,0.393450684459534,37,37,0.5415718035733208
cross_section_controls,total_protein_10g,Total protein supply (+10 g/cap/day),-0.025977385357717552,1.015567013266334,-0.025579193709893516,0.9795929816542113,37,37,0.5313559470590234
twfe,total_energy_100kcal,Total energy supply (+100 kcal/cap/day),-0.12589843633536327,0.09545600956725758,-1.318915769746861,0.18719727346332093,481,37,0.9944496179020377
twfe_gdp_urban,total_energy_100kcal,Total energy supply (+100 kcal/cap/day),-0.09815560471165663,0.09546982331079051,-1.0281322548605005,0.3038876199467837,481,37,0.994747244572026
twfe,total_fat_10g,Total fat supply (+10 g/cap/day),-0.33301448560916425,0.20963331064164875,-1.5885571075983513,0.11216041838069346,481,37,0.9945397672927362
twfe_gdp_urban,total_fat_10g,Total fat supply (+10 g/cap/day),-0.26727744512277984,0.18571508896884206,-1.4391800182031613,0.15009952525286807,481,37,0.9948169510995049
twfe,total_protein_10g,Total protein supply (+10 g/cap/day),-0.21063146564384755,0.2710080301561398,-0.7772148505064348,0.43703202204213243,481,37,0.994357590137427
twfe_gdp_urban,total_protein_10g,Total protein supply (+10 g/cap/day),-0.051239297058431665,0.2776005491605904,-0.1845792352117791,0.853559073975646,481,37,0.9946784293814507
country_detrended,total_energy_100kcal,Total energy supply (+100 kcal/cap/day),0.046750154596290956,0.015713568922840624,2.9751455462378615,0.0029284956595274636,481,37,0.046715473194850254
first_difference,total_energy_100kcal,Total energy supply (+100 kcal/cap/day),-0.009896762044113142,0.01748350724546675,-0.5660627415977562,0.571351130078193,444,37,0.000788076543919658
country_detrended,total_fat_10g,Total fat supply (+10 g/cap/day),-0.024253613149580484,0.037714128968543065,-0.6430909002249569,0.52016511876318,481,37,0.0037568167242902906
first_difference,total_fat_10g,Total fat supply (+10 g/cap/day),-0.02280715785541398,0.023106899149543093,-0.9870280606588859,0.32362888254630273,444,37,0.001556186037183327
country_detrended,total_protein_10g,Total protein supply (+10 g/cap/day),0.07289042561061009,0.048574751198889356,1.500582582752924,0.13346355903009943,481,37,0.01607085672559272
first_difference,total_protein_10g,Total protein supply (+10 g/cap/day),-0.00624585626007732,0.03506671065459942,-0.17811354824801914,0.8586338021984592,444,37,4.663386478065412e-05
